,beta_top,beta_bottom,crdm_amb_lev,crdm_sure_amt,crdm_sure_p,crdm_lott_amt,crdm_lott_p
2,135.13513513513513,-135.13513513513513,0.74,5,1.0,6,0.5
5,135.13513513513513,-135.13513513513513,0.74,5,1.0,10,0.5
8,135.13513513513513,-135.13513513513513,0.74,5,1.0,20,0.5
11,135.13513513513513,-135.13513513513513,0.74,5,1.0,40,0.5
14,135.13513513513513,-135.13513513513513,0.74,5,1.0,50,0.5
1,200.0,-200.0,0.5,5,1.0,6,0.5
4,200.0,-200.0,0.5,5,1.0,10,0.5
7,200.0,-200.0,0.5,5,1.0,20,0.5
10,200.0,-200.0,0.5,5,1.0,40,0.5
13,200.0,-200.0,0.5,5,1.0,50,0.5
0,416.6666666666667,-416.6666666666667,0.24,5,1.0,6,0.5
3,416.6666666666667,-416.6666666666667,0.24,5,1.0,10,0.5
6,416.6666666666667,-416.6666666666667,0.24,5,1.0,20,0.5
9,416.6666666666667,-416.6666666666667,0.24,5,1.0,40,0.5
12,416.6666666666667,-416.6666666666667,0.24,5,1.0,50,0.5
