,time_null,time_reward,value_null,value_reward
0,0,5,10,7
1,0,5,10,14
2,0,5,10,21
3,0,5,10,30
4,0,5,10,41
5,0,5,10,50
6,0,5,10,65
7,0,10,10,7
8,0,10,10,14
9,0,10,10,21
10,0,10,10,30
11,0,10,10,41
12,0,10,10,50
13,0,10,10,65
14,0,30,10,7
15,0,30,10,14
16,0,30,10,21
17,0,30,10,30
18,0,30,10,41
19,0,30,10,50
20,0,30,10,65
21,0,60,10,7
22,0,60,10,14
23,0,60,10,21
24,0,60,10,30
25,0,60,10,41
26,0,60,10,50
27,0,60,10,65
28,0,90,10,7
29,0,90,10,14
30,0,90,10,21
31,0,90,10,30
32,0,90,10,41
33,0,90,10,50
34,0,90,10,65
35,0,150,10,7
36,0,150,10,14
37,0,150,10,21
38,0,150,10,30
39,0,150,10,41
40,0,150,10,50
41,0,150,10,65
